Date,Time,Total searches,Discovery searches,Total views,Search views,Maps views,Total actions,Direct searches,Website actions,Directions actions,Phone call actions,Total owner photos,Owner photo views,Total customer photos,Customer photo views,y
3/13/2020,318,1056,216,1346,200,1146,200,840,65,124,11,680,4402,314,4093,10476.92
3/14/2020,319,1012,331,1568,250,1318,218,681,82,113,23,0,0,0,0,11841.38
3/15/2020,320,1051,367,1535,222,1313,255,684,91,129,35,680,5734,315,5737,10980.63
3/16/2020,321,824,336,1406,146,1260,174,488,51,79,44,680,3934,315,3382,4645.76
3/17/2020,322,767,175,1026,169,857,170,592,69,71,30,680,3361,316,3566,6874.28
3/18/2020,323,744,168,1043,178,865,178,576,78,58,42,680,4338,316,4064,6940.62
3/19/2020,324,888,234,1264,234,1030,169,654,80,66,23,680,4764,316,4628,6949.27
3/20/2020,325,895,175,1348,170,1178,213,720,99,67,47,680,4785,316,4576,8793.07
3/21/2020,326,716,193,1087,228,859,229,523,104,63,62,680,6141,322,6383,10661.14
3/22/2020,327,678,211,911,208,703,166,467,81,53,32,680,4582,322,4022,7936.86
3/23/2020,328,736,260,1069,211,858,153,476,63,56,34,0,0,0,0,6488.95
3/24/2020,329,652,216,966,226,740,181,436,81,61,39,680,3954,322,3450,5894.84
3/25/2020,330,650,200,892,191,701,131,450,45,50,36,680,3469,322,3038,6332.69
3/26/2020,331,542,203,738,180,558,119,339,60,40,19,680,3212,326,2850,6313.07
3/27/2020,332,812,237,1109,246,863,198,575,90,67,41,680,5763,326,4408,8560.36
3/28/2020,333,921,313,1205,227,978,218,608,90,83,45,680,5569,326,4792,10090.35
3/29/2020,334,956,227,1401,234,1167,228,729,98,78,52,680,7376,326,5911,9841.39
3/30/2020,335,816,197,1088,211,877,143,619,55,59,29,680,4566,326,3770,5619.53
3/31/2020,336,691,192,982,235,747,150,499,74,46,30,680,4486,326,3544,6623.71
4/1/2020,337,714,237,1051,233,818,160,477,79,61,20,680,5072,326,4202,6303.06
4/2/2020,338,669,163,904,209,695,183,506,85,70,28,680,6056,326,5500,6061.61
4/3/2020,339,824,228,1127,243,884,237,596,112,82,43,680,5655,326,4160,9423.77
4/4/2020,340,854,241,1315,276,1039,331,613,167,107,57,680,8281,326,6843,11930.82
4/5/2020,341,610,132,975,260,715,275,478,160,85,30,680,6143,326,4972,11316.56
4/6/2020,342,437,164,714,186,528,149,273,78,44,27,680,5505,326,3987,5535.06
4/7/2020,343,300,122,565,202,363,141,178,71,46,24,680,3452,328,1987,5351.38
4/8/2020,344,366,155,817,220,597,174,211,92,54,28,680,5029,328,3430,7255.79
4/9/2020,345,465,235,867,226,641,173,230,99,54,20,680,5853,328,4518,5821.02
4/10/2020,346,556,318,967,257,710,221,238,116,61,44,680,5855,328,3761,9823.96
4/11/2020,347,484,277,990,283,707,251,207,125,91,35,680,6665,328,4809,12816.88
4/12/2020,348,421,247,779,252,527,195,174,99,55,41,680,5635,328,3760,9499.93
4/13/2020,349,317,157,731,201,530,133,160,73,38,22,680,4135,328,2563,5748.81
4/14/2020,456,187,893,215,678,269,201,105,73,23,,680,4153,328,2204,7457.79
4/15/2020,997,179,1534,289,1245,818,233,102,96,35,,680,7690,328,4859,9714.84
4/16/2020,1420,274,1840,263,1577,1146,282,145,101,36,,680,6694,328,4812,10020.73
4/17/2020,1484,257,1962,434,1528,1227,444,236,142,66,,681,11178,328,6496,14273.94
